11-15 04:23 root         INFO     Verifying the input sequences.
11-15 04:23 root         INFO     Sequences are assumed to be single-end.
11-15 04:23 root         INFO     Temporary directory is: /tmp/itsxpress_2sze8hzl
11-15 04:23 root         INFO     Unique sequences are being written to a temporary FASTA file with Vsearch.
11-15 04:23 root         INFO     WARNING: The derep_fulllength command does not support multithreading.
Only 1 thread used.
vsearch v2.15.2_linux_x86_64, 7.7GB RAM, 8 cores
https://github.com/torognes/vsearch

Dereplicating file F2-16s_T1_L001_R1_001.fastq.gz 100%
3119345 nt in 9996 seqs, min 33, max 406, avg 312
minseqlength 32: 4 sequences discarded.
Sorting 100%
6254 unique sequences, avg cluster 1.6, median 1, max 347
Writing output file 100%
Writing uc file, first part 100%
Writing uc file, second part 100%

11-15 04:23 root         INFO     Searching for ITS start and stop sites using HMMSearch. This step takes a while.
11-15 04:24 root         INFO     Parsing HMM results.
11-15 04:24 root         INFO     Writing out sequences
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00854:05222, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00107:04060, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00739:07450, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00575:00357, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00347:05450, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00063:06248, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00197:00708, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00202:00468, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00110:05991, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00027:06166, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00639:02675, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00142:02022, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00675:03525, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00014:04023, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00675:02517, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00613:05866, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00585:04631, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00350:01958, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00015:05345, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00044:07011, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00505:00654, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00493:02286, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00832:01496, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00498:02394, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00069:04788, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00505:07134, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00002:00768, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00208:01967, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00786:05951, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00691:01132, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00085:03352, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00531:03712, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00211:00708, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00191:03914, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00268:04767, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00055:06817, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00564:00903, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00825:01243, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00315:04575, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00378:03877, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00460:00258, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00218:02273, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00105:02358, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00542:04802, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00185:07005, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00255:00645, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00650:04187, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00190:05337, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00631:06608, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00686:03218, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00560:06035, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00174:06478, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00280:02569, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00116:02617, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00001:02557, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00096:01020, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00758:05970, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00443:07412, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00861:02874, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00665:05160, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00655:05816, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00481:04252, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00349:05783, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00353:05002, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00005:00596, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00212:02759, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00212:07210, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00519:01862, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00465:01376, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00649:00485, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00849:05295, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00225:02958, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00811:06289, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00140:07097, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00202:05619, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00412:07142, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00833:05304, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00047:02000, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00104:00750, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00518:02009, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00790:03213, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00463:05004, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00657:05512, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00464:02993, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00085:03352, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00493:00223, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00824:05348, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00144:06809, skipping.
